donor,status,NA,clustering,qc_num_umi,qc_num_reads,qc_mean_reads_per_umi,qc_std_reads_per_umi,qc_mapped_reads,qc_genome_not_gene,qc_unmapped_reads,qc_umi_corrected,qc_barcode_corrected,fineclusters
donor_11,control,PST32190_CSF,class_mono,8062,46593,5.77933515257,4.43434002387,0.576309746099,0.261391196102,0.162299057798,0.00665335994677,0.0158178267122,class_mono
donor_11,control,PST32190_CSF,CD4_Tc,4293,22185,5.1677148847,3.69715783647,0.55231011945,0.315303132747,0.132386747803,0.00631057020509,0.0129817444219,Tc_3
donor_11,control,PST32190_CSF,CD4_Tc,7236,41255,5.70135433941,4.12917923789,0.547279117683,0.315258756514,0.137462125803,0.00637498485032,0.0133074778815,Tc_6
donor_11,control,PST32190_CSF,nc_mono,10631,62440,5.87338914495,4.33665144944,0.575560538117,0.285185778347,0.139253683536,0.00723894939142,0.0162235746316,nc_mono
donor_11,control,PST32190_CSF,CD4_Tc,8061,43739,5.42600173676,4.04731798638,0.529321658017,0.335078534031,0.135599807952,0.00566999702782,0.0154781773703,Tc_6
donor_11,control,PST32190_CSF,CD4_Tc,4182,24953,5.96676231468,4.33301570554,0.532761591793,0.333146315072,0.134092093135,0.00601130124634,0.0159900613153,Tc_2
donor_11,control,PST32190_CSF,CD4_Tc,11680,72935,6.24443493151,4.54940380094,0.520888462329,0.344169465963,0.134942071708,0.00542949201344,0.0153424281895,Tc_6
donor_11,control,PST32190_CSF,aCD8_Tc,5436,36321,6.68156732892,4.95391443909,0.485173866358,0.377770435836,0.137055697806,0.00586437598084,0.0168772886209,aCD8
donor_11,control,PST32190_CSF,nCD8_Tc,5287,34049,6.44013618309,4.76946403624,0.527210784458,0.329025815736,0.143763399806,0.00652001527211,0.0138917442509,nCD8
donor_11,control,PST32190_CSF,CD4_Tc,5408,30455,5.63147189349,4.16717698953,0.504679034641,0.353012641602,0.142308323756,0.00564767690034,0.0151042521753,Tc_6
donor_11,control,PST32190_CSF,CD4_Tc,8391,54110,6.44857585508,4.62031014652,0.592607651081,0.276603215672,0.130789133247,0.00643134355942,0.0183699870634,Tc_6
donor_11,control,PST32190_CSF,nc_mono,3389,20967,6.18678076129,4.6040626719,0.54938713216,0.322697572376,0.127915295464,0.00634330137836,0.0167882863547,nc_mono
donor_11,control,PST32190_CSF,nCD8_Tc,16345,105093,6.42967268278,4.56094457491,0.617690997497,0.252443074229,0.129865928273,0.00730781307984,0.0186120864377,nCD8
